loss,accuracy,val_loss,val_accuracy
2.5015885829925537,0.3007982671260834,2.505683422088623,0.30035045742988586
2.490041732788086,0.30249205231666565,2.4992454051971436,0.3008314371109009
2.4815640449523926,0.30216801166534424,2.4934661388397217,0.30309900641441345
2.471935272216797,0.30456873774528503,2.4801628589630127,0.2978080213069916
2.4630069732666016,0.3061741590499878,2.4704928398132324,0.3097642958164215
2.453664541244507,0.3091198205947876,2.4609861373901367,0.3057788908481598
2.445150375366211,0.30962058901786804,2.454601287841797,0.3028241693973541
2.4364943504333496,0.31180039048194885,2.443471908569336,0.313681036233902
2.426443338394165,0.31614527106285095,2.441615104675293,0.307634174823761
2.418444871902466,0.3165134787559509,2.427372694015503,0.3179413080215454
2.4093682765960693,0.3192676901817322,2.4179437160491943,0.31807875633239746
2.399890899658203,0.3230381906032562,2.409745931625366,0.3195904493331909
2.390873908996582,0.3249381482601166,2.404517650604248,0.31752902269363403
2.3830325603485107,0.32792800664901733,2.3954739570617676,0.3283858895301819
2.375706195831299,0.32926830649375916,2.386408567428589,0.323575884103775
2.368018627166748,0.3303729295730591,2.3781256675720215,0.3298288881778717
2.3607370853424072,0.3317131996154785,2.3722288608551025,0.33463889360427856
2.3526484966278076,0.3347325325012207,2.360685348510742,0.3317528963088989
2.3448987007141113,0.3343643248081207,2.3514299392700195,0.3373187780380249
2.3362555503845215,0.33717745542526245,2.344067096710205,0.3431594967842102
