accuracy,val_accuracy,loss,val_loss
27.02838038851824,36.776632302405496,2.764151003799619,2.3751874729813585
40.401184111695315,43.05154639175258,2.2331832194148804,2.1225313488788466
44.16412612851441,46.371134020618555,2.069108336893786,1.9960191784514254
46.896125127026906,48.81099656357388,1.9663414433702306,1.8888641344153403
48.76360476590229,50.6254295532646,1.8880331131127734,1.8351695435054096
50.421950249635486,51.31958762886598,1.8274979774055116,1.799491246499819
51.801941118425894,52.281786941580755,1.7766550351774246,1.7465763798635097
52.616386102888114,52.8041237113402,1.7341300080855722,1.738856945240776
53.72833178691881,53.18213058419244,1.6962645422437863,1.6878683521495474
54.324805961796194,54.85910652920962,1.6644684354663775,1.67435953448031
55.383731719171124,55.56701030927835,1.63407861942274,1.6324742872917695
55.96105980942282,56.934707903780065,1.6070642402497708,1.593464953326659
56.573734517445025,56.446735395189,1.5814176713212875,1.613043444956653
57.35577843561761,56.59106529209622,1.5551661425248946,1.6048912664163375
57.84915830866434,57.292096219931274,1.5341295055533295,1.5519427826655918
58.45888746520567,58.74226804123711,1.512305934690647,1.5231722121313769
58.855064139383494,59.12714776632303,1.4933842926710048,1.527491209508168
59.46626607166527,57.97250859106529,1.4782429801702017,1.5310112415706687
59.7195834990206,59.876288659793815,1.4601393176472928,1.4764961979731375
60.299857140753176,58.76975945017182,1.44491700132296,1.4965333533382017
60.569375101253335,60.371134020618555,1.4278492058632237,1.479454496933104
60.989116187278164,59.312714776632305,1.4145520081556444,1.5043425829572934
61.17910425779466,60.797250859106526,1.404113476431152,1.451281888718266
61.60768199826212,61.381443298969074,1.3909137703903205,1.4151530033666564
61.919910455234984,61.88316151202749,1.3779155685604358,1.4247593206480973
62.26012165127616,61.32646048109966,1.3647113531045616,1.4325498285034448
62.492820218265365,61.8213058419244,1.3564537775961811,1.4156217526251784
62.883105789481434,62.09621993127148,1.3458947251286535,1.3958726868515472
62.80210312375735,62.06872852233677,1.339746052255966,1.406625724591093
63.30431965124671,62.76288659793814,1.3270227025892327,1.3860126418654668
63.45601555251182,63.085910652920965,1.3212286974776861,1.372500174423458
63.797699524293435,63.017182130584196,1.3119645081932318,1.3755006747618859
63.94497709833723,62.2680412371134,1.3058841920835715,1.3987289572634514
63.88312051723884,63.3745704467354,1.3009445712657823,1.3691478553302698
64.27782441567622,62.36426116838488,1.2915657384843855,1.3823676275754946
64.40301035361345,63.30584192439863,1.284259569168873,1.359196407483071
64.58268899394689,63.51890034364261,1.276808471793568,1.3579502164054624
64.76384041002076,63.86254295532646,1.2695700548149569,1.3555875524754446
65.06723221255099,63.84192439862543,1.2620468833332072,1.3385234419767271
65.05692278236793,64.58419243986255,1.257288681190493,1.331233124520944
65.27636636769319,63.80068728522337,1.2519157245018342,1.3463042495050366
65.4280622689583,65.01030927835052,1.246338202122349,1.3171677087144522
65.68285247205408,63.70446735395189,1.2368861776751345,1.3514735386703824
65.66665193890927,65.56701030927834,1.2373260362147287,1.3030066550703452
65.81098396147219,64.28865979381443,1.2296285181596638,1.3224848265280595
65.99802648050782,65.40893470790378,1.222325678248822,1.2973775462126294
66.00980868643131,65.73883161512028,1.2205870083096282,1.2879063697709965
66.09670245511715,64.5085910652921,1.2162218414151864,1.3294635243567972
66.3927303789452,65.31958762886597,1.208791844666273,1.2914216047961604
66.42807699671572,65.63573883161511,1.2024519600709378,1.296429396544803
66.66961221814755,66.04123711340206,1.1955350337345954,1.2835225990758339
66.72852324776507,64.60481099656357,1.1959384329791152,1.322191841578631
66.75797876257383,66.05498281786942,1.1868933350875268,1.284722818826428
66.99509565678434,65.98625429553265,1.18528591396585,1.2801152330062426
67.17771984859866,66.13058419243987,1.1778798677101163,1.2811543482772214
67.22043034507135,66.36426116838489,1.1740762179986686,1.267330563990411
